date,description,amount
2026-06-02,Trader Joe's #112,64.28
2026-06-02,Shell Oil 4471,38.50
2026-06-03,Starbucks Coffee,6.75
2026-06-04,Netflix.com Subscription,15.49
2026-06-05,Amazon.com Order,89.99
2026-06-06,Chipotle Mexican Grill,13.40
2026-06-07,Comcast Xfinity Internet,79.99
2026-06-08,Uber Trip 8842,22.10
2026-06-10,Safeway Grocery,102.34
2026-06-11,AMC Theatres,32.00
2026-06-12,Verizon Wireless Bill,95.00
2026-06-14,Dunkin Donuts,5.60
2026-06-16,Delta Airlines Ticket,342.10
2026-06-19,Whole Foods Market,58.90
2026-06-24,Electric Company Payment,110.45
2026-06-26,Best Buy Electronics,219.99
2026-06-29,Doordash Order,27.60
2026-07-01,Kroger Supermarket,88.12
2026-07-02,Starbucks Coffee,7.25
2026-07-03,Shell Oil 4471,41.00
2026-07-04,Ticketmaster Concert,150.00
2026-07-05,Amazon.com Order,45.60
2026-07-07,Water Bill Payment,52.30
2026-07-08,Uber Trip 9021,18.40
2026-07-10,Whole Foods Market,73.55
2026-07-11,Netflix.com Subscription,15.49
2026-07-12,AT&T Phone Bill,65.00
2026-07-13,Nike Store,110.00
2026-07-15,Spotify Premium,10.99
2026-07-16,Southwest Airlines Ticket,198.50
2026-07-19,Trader Joe's #112,61.40
2026-07-22,Olive Garden Restaurant,58.75
2026-07-24,Natural Gas Company Bill,48.20
2026-07-26,Ebay Purchase,33.99
2026-07-29,Grubhub Order,24.30
2026-08-01,Safeway Grocery,95.67
2026-08-02,Starbucks Coffee,6.50
2026-08-03,Chevron Gas Station,42.75
2026-08-04,Hulu Subscription,7.99
2026-08-05,Amazon.com Order,132.45
2026-08-06,Taco Bell,9.85
2026-08-07,Comcast Xfinity Internet,79.99
2026-08-08,Uber Trip 9350,25.60
2026-08-10,Whole Foods Market,81.20
2026-08-11,Steam Games Purchase,29.99
2026-08-12,Verizon Wireless Bill,95.00
2026-08-13,Macy's Department Store,87.50
2026-08-16,United Airlines Ticket,410.00
2026-08-19,Trader Joe's #112,67.85
2026-08-22,Sushi Bistro,45.60
2026-08-24,Electric Company Payment,118.90
2026-08-28,Uber Trip 9502,19.20
2026-08-30,Ticketmaster Concert,95.00
